{ 2 JetEta JetPt 0 None ScaleFactor }
-1.131 -0.783 0 275 3 1.000 1.000 1.000
-1.131 -0.783 275 313 3 1.032 1.003 1.061
-1.131 -0.783 313 378 3 1.064 1.026 1.102
-1.131 -0.783 378 434 3 1.097 1.052 1.142
-1.131 -0.783 434 464 3 1.117 1.067 1.167
-1.131 -0.783 464 500 3 1.131 1.079 1.183
-1.131 -0.783 500 525 3 1.143 1.089 1.197
-1.131 -0.783 525 550 3 1.152 1.096 1.208
-1.131 -0.783 550 572 3 1.161 1.104 1.218
-1.131 -0.783 572 600 3 1.170 1.111 1.228
-1.131 -0.783 600 625 3 1.178 1.119 1.237
-1.131 -0.783 625 650 3 1.186 1.127 1.245
-1.131 -0.783 650 675 3 1.194 1.134 1.254
-1.131 -0.783 675 700 3 1.201 1.141 1.261
-1.131 -0.783 700 725 3 1.208 1.148 1.268
-1.131 -0.783 725 750 3 1.214 1.153 1.275
-1.131 -0.783 750 775 3 1.221 1.160 1.282
-1.131 -0.783 775 800 3 1.227 1.166 1.288
-1.131 -0.783 800 825 3 1.233 1.171 1.295
-1.131 -0.783 825 850 3 1.239 1.177 1.301
-1.131 -0.783 850 875 3 1.244 1.182 1.306
-1.131 -0.783 875 900 3 1.249 1.187 1.311
-1.131 -0.783 900 7000 3 1.271 1.207 1.335
-0.783 -0.522 0 275 3 1.013 1.000 1.026
-0.783 -0.522 275 313 3 1.029 1.000 1.058
-0.783 -0.522 313 378 3 1.054 1.016 1.092
-0.783 -0.522 378 434 3 1.083 1.037 1.129
-0.783 -0.522 434 464 3 1.104 1.054 1.154
-0.783 -0.522 464 500 3 1.119 1.066 1.172
-0.783 -0.522 500 525 3 1.132 1.077 1.187
-0.783 -0.522 525 550 3 1.143 1.086 1.200
-0.783 -0.522 550 572 3 1.153 1.095 1.211
-0.783 -0.522 572 600 3 1.163 1.105 1.221
-0.783 -0.522 600 625 3 1.173 1.114 1.232
-0.783 -0.522 625 650 3 1.182 1.123 1.241
-0.783 -0.522 650 675 3 1.192 1.132 1.252
-0.783 -0.522 675 700 3 1.201 1.141 1.261
-0.783 -0.522 700 725 3 1.210 1.149 1.270
-0.783 -0.522 725 750 3 1.218 1.157 1.279
-0.783 -0.522 750 775 3 1.227 1.166 1.288
-0.783 -0.522 775 800 3 1.235 1.173 1.297
-0.783 -0.522 800 825 3 1.243 1.181 1.305
-0.783 -0.522 825 850 3 1.250 1.188 1.312
-0.783 -0.522 850 875 3 1.258 1.195 1.321
-0.783 -0.522 875 900 3 1.265 1.202 1.328
-0.783 -0.522 900 7000 3 1.296 1.231 1.361
-0.522 -0.000 0 177 3 1.000 1.000 1.000
-0.522 -0.000 177 210 3 1.028 1.000 1.056
-0.522 -0.000 210 246 3 1.051 1.007 1.095
-0.522 -0.000 246 275 3 1.071 1.024 1.118
-0.522 -0.000 275 313 3 1.090 1.041 1.139
-0.522 -0.000 313 378 3 1.118 1.065 1.171
-0.522 -0.000 378 434 3 1.148 1.091 1.205
-0.522 -0.000 434 464 3 1.167 1.109 1.225
-0.522 -0.000 464 500 3 1.182 1.123 1.241
-0.522 -0.000 500 525 3 1.194 1.134 1.254
-0.522 -0.000 525 550 3 1.204 1.144 1.264
-0.522 -0.000 550 572 3 1.213 1.152 1.274
-0.522 -0.000 572 600 3 1.223 1.162 1.284
-0.522 -0.000 600 625 3 1.232 1.170 1.294
-0.522 -0.000 625 650 3 1.241 1.179 1.303
-0.522 -0.000 650 675 3 1.250 1.188 1.312
-0.522 -0.000 675 700 3 1.259 1.196 1.322
-0.522 -0.000 700 725 3 1.267 1.204 1.330
-0.522 -0.000 725 750 3 1.275 1.211 1.339
-0.522 -0.000 750 775 3 1.283 1.219 1.347
-0.522 -0.000 775 800 3 1.290 1.226 1.355
-0.522 -0.000 800 825 3 1.298 1.233 1.363
-0.522 -0.000 825 850 3 1.305 1.240 1.370
-0.522 -0.000 850 875 3 1.313 1.247 1.379
-0.522 -0.000 875 900 3 1.320 1.254 1.386
-0.522 -0.000 900 7000 3 1.350 1.283 1.417
0.000 0.522 0 177 3 1.000 1.000 1.000
0.000 0.522 177 210 3 1.028 1.000 1.056
0.000 0.522 210 246 3 1.051 1.007 1.095
0.000 0.522 246 275 3 1.071 1.024 1.118
0.000 0.522 275 313 3 1.090 1.041 1.139
0.000 0.522 313 378 3 1.118 1.065 1.171
0.000 0.522 378 434 3 1.148 1.091 1.205
0.000 0.522 434 464 3 1.167 1.109 1.225
0.000 0.522 464 500 3 1.182 1.123 1.241
0.000 0.522 500 525 3 1.194 1.134 1.254
0.000 0.522 525 550 3 1.204 1.144 1.264
0.000 0.522 550 572 3 1.213 1.152 1.274
0.000 0.522 572 600 3 1.223 1.162 1.284
0.000 0.522 600 625 3 1.232 1.170 1.294
0.000 0.522 625 650 3 1.241 1.179 1.303
0.000 0.522 650 675 3 1.250 1.188 1.312
0.000 0.522 675 700 3 1.259 1.196 1.322
0.000 0.522 700 725 3 1.267 1.204 1.330
0.000 0.522 725 750 3 1.275 1.211 1.339
0.000 0.522 750 775 3 1.283 1.219 1.347
0.000 0.522 775 800 3 1.290 1.226 1.355
0.000 0.522 800 825 3 1.298 1.233 1.363
0.000 0.522 825 850 3 1.305 1.240 1.370
0.000 0.522 850 875 3 1.313 1.247 1.379
0.000 0.522 875 900 3 1.320 1.254 1.386
0.000 0.522 900 7000 3 1.350 1.283 1.417
0.522 0.783 0 275 3 1.013 1.000 1.026
0.522 0.783 275 313 3 1.029 1.000 1.058
0.522 0.783 313 378 3 1.054 1.016 1.092
0.522 0.783 378 434 3 1.083 1.037 1.129
0.522 0.783 434 464 3 1.104 1.054 1.154
0.522 0.783 464 500 3 1.119 1.066 1.172
0.522 0.783 500 525 3 1.132 1.077 1.187
0.522 0.783 525 550 3 1.143 1.086 1.200
0.522 0.783 550 572 3 1.153 1.095 1.211
0.522 0.783 572 600 3 1.163 1.105 1.221
0.522 0.783 600 625 3 1.173 1.114 1.232
0.522 0.783 625 650 3 1.182 1.123 1.241
0.522 0.783 650 675 3 1.192 1.132 1.252
0.522 0.783 675 700 3 1.201 1.141 1.261
0.522 0.783 700 725 3 1.210 1.149 1.270
0.522 0.783 725 750 3 1.218 1.157 1.279
0.522 0.783 750 775 3 1.227 1.166 1.288
0.522 0.783 775 800 3 1.235 1.173 1.297
0.522 0.783 800 825 3 1.243 1.181 1.305
0.522 0.783 825 850 3 1.250 1.188 1.312
0.522 0.783 850 875 3 1.258 1.195 1.321
0.522 0.783 875 900 3 1.265 1.202 1.328
0.522 0.783 900 7000 3 1.296 1.231 1.361
0.783 1.131 0 275 3 1.000 1.000 1.000
0.783 1.131 275 313 3 1.032 1.003 1.061
0.783 1.131 313 378 3 1.064 1.026 1.102
0.783 1.131 378 434 3 1.097 1.052 1.142
0.783 1.131 434 464 3 1.117 1.067 1.167
0.783 1.131 464 500 3 1.131 1.079 1.183
0.783 1.131 500 525 3 1.143 1.089 1.197
0.783 1.131 525 550 3 1.152 1.096 1.208
0.783 1.131 550 572 3 1.161 1.104 1.218
0.783 1.131 572 600 3 1.170 1.111 1.228
0.783 1.131 600 625 3 1.178 1.119 1.237
0.783 1.131 625 650 3 1.186 1.127 1.245
0.783 1.131 650 675 3 1.194 1.134 1.254
0.783 1.131 675 700 3 1.201 1.141 1.261
0.783 1.131 700 725 3 1.208 1.148 1.268
0.783 1.131 725 750 3 1.214 1.153 1.275
0.783 1.131 750 775 3 1.221 1.160 1.282
0.783 1.131 775 800 3 1.227 1.166 1.288
0.783 1.131 800 825 3 1.233 1.171 1.295
0.783 1.131 825 850 3 1.239 1.177 1.301
0.783 1.131 850 875 3 1.244 1.182 1.306
0.783 1.131 875 900 3 1.249 1.187 1.311
0.783 1.131 900 7000 3 1.271 1.207 1.335
1.131 1.305 0 7000 3 1.023 1.000 1.046
1.305 1.740 0 7000 3 1.125 1.073 1.177
1.740 1.930 0 83 3 1.000 1.000 1.000
1.740 1.930 83 108 3 1.017 1.000 1.034
1.740 1.930 108 140 3 1.087 1.033 1.141
1.740 1.930 140 177 3 1.136 1.079 1.193
1.740 1.930 177 210 3 1.169 1.111 1.227
1.740 1.930 210 246 3 1.190 1.131 1.249
1.740 1.930 246 275 3 1.204 1.144 1.264
1.740 1.930 275 313 3 1.215 1.154 1.276
1.740 1.930 313 378 3 1.227 1.166 1.288
1.740 1.930 378 434 3 1.237 1.175 1.299
1.740 1.930 434 464 3 1.242 1.180 1.304
1.740 1.930 464 500 3 1.245 1.183 1.307
1.740 1.930 500 525 3 1.247 1.185 1.309
1.740 1.930 525 550 3 1.249 1.187 1.311
1.740 1.930 550 572 3 1.250 1.188 1.312
1.740 1.930 572 600 3 1.252 1.189 1.315
1.740 1.930 600 625 3 1.253 1.190 1.316
1.740 1.930 625 650 3 1.254 1.191 1.317
1.740 1.930 650 675 3 1.255 1.192 1.318
1.740 1.930 675 700 3 1.256 1.193 1.319
1.740 1.930 700 750 3 1.257 1.194 1.320
1.740 1.930 750 775 3 1.258 1.195 1.321
1.740 1.930 775 825 3 1.259 1.196 1.322
1.740 1.930 825 875 3 1.260 1.197 1.323
1.740 1.930 875 900 3 1.261 1.198 1.324
1.740 1.930 900 7000 3 1.263 1.200 1.326
1.930 2.043 0 7000 3 1.065 1.012 1.118
2.043 2.322 0 7000 3 1.232 1.170 1.294
2.322 2.500 0 7000 3 1.433 1.361 1.505
2.500 2.650 0 79 3 1.180 1.121 1.239
2.500 2.650 79 99 3 1.283 1.219 1.347
2.500 2.650 99 122 3 1.401 1.331 1.471
2.500 2.650 122 194 3 1.592 1.512 1.672
2.500 2.650 194 240 3 1.741 1.654 1.828
2.500 2.650 240 273 3 1.808 1.718 1.898
2.500 2.650 273 300 3 1.850 1.758 1.943
2.500 2.650 300 365 3 1.900 1.805 1.995
2.500 2.650 365 400 3 1.942 1.845 2.039
2.500 2.650 400 500 3 1.985 1.886 2.084
2.500 2.650 500 7000 3 2.030 1.928 2.131
2.650 2.853 0 7000 3 2.032 1.930 2.134
2.853 2.964 0 79 3 1.506 1.431 1.581
2.853 2.964 79 99 3 1.601 1.521 1.681
2.853 2.964 99 122 3 1.710 1.625 1.795
2.853 2.964 122 194 3 1.897 1.802 1.992
2.853 2.964 194 240 3 2.056 1.953 2.159
2.853 2.964 240 273 3 2.135 2.028 2.242
2.853 2.964 273 300 3 2.186 2.077 2.295
2.853 2.964 300 365 3 2.253 2.140 2.366
2.853 2.964 365 400 3 2.312 2.196 2.428
2.853 2.964 400 500 3 2.378 2.259 2.497
2.853 2.964 500 7000 3 2.453 2.330 2.576
2.964 3.139 0 79 3 1.000 1.000 1.000
2.964 3.139 79 99 3 1.098 1.043 1.153
2.964 3.139 99 122 3 1.200 1.140 1.260
2.964 3.139 122 194 3 1.333 1.266 1.400
2.964 3.139 194 240 3 1.408 1.338 1.478
2.964 3.139 240 273 3 1.435 1.363 1.507
2.964 3.139 273 300 3 1.449 1.377 1.521
2.964 3.139 300 365 3 1.464 1.391 1.537
2.964 3.139 365 400 3 1.475 1.401 1.549
2.964 3.139 400 500 3 1.485 1.411 1.559
2.964 3.139 500 7000 3 1.493 1.418 1.568
3.139 5.191 0 7000 3 1.377 1.308 1.446
